"ID","parentID","cruise","max_depth","dataset_url","r_file_path","data_collection","main_file_path","citation","link_from","loaded","variables","descriptions","coverage","n_child_data"
"915751",NA,NA,"120","https://doi.org/10.1594/PANGAEA.915751","raw_data/archive/ID_915751.rds","Chlorophyll","selected_data_collection/data_selected_Chlorophyll/main_data/main_Chlorophyll.csv","von Jackowski, Anabel; Grosse, Julia; Nöthig, Eva-Maria; Engel, Anja (2020): Organic matter and bacteria measurements of POLARSTERN cruise PS114 and Maria S. Merian cruise MSM77. PANGAEA, https://doi.org/10.1594/PANGAEA.915751",NA,"1","Event;;Station (Stationbook);;Station (Hausgarten);;Date/Time;;Latitude;;Longitude;;Depth water [m];;Chl a [µg/l] (Acetone extraction (Turner De...);;DOC [µmol/l] (High temperature catalytic ox...);;TDN [µmol/l] (High temperature catalytic ox...);;TDP [µmol/l] (Acidic molybdate solution);;DOP [µmol/l] (Acidic molybdate solution);;DCCHO [nmol/l] (High performance anion exchan...);;Fuc [%] (High performance anion exchan...);;Rha [%] (High performance anion exchan...);;GalN [%] (High performance anion exchan...);;Ara [%] (High performance anion exchan...);;GlcN [%] (High performance anion exchan...);;Gal [%] (High performance anion exchan...);;Glc [%] (High performance anion exchan...);;Man/Xyl [%] (High performance anion exchan...);;GalA [%] (High performance anion exchan...);;GlcA [%] (High performance anion exchan...);;THDAA [nmol/l] (High Performance Liquid Chrom...);;Asp [%] (High Performance Liquid Chrom...);;Glu [%] (High Performance Liquid Chrom...);;Ser [%] (High Performance Liquid Chrom...);;Gly [%] (High Performance Liquid Chrom...);;Thr [%] (High Performance Liquid Chrom...);;Arg [%] (High Performance Liquid Chrom...);;Ala [%] (High Performance Liquid Chrom...);;Tyr [%] (High Performance Liquid Chrom...);;Val [%] (High Performance Liquid Chrom...);;Ile [%] (High Performance Liquid Chrom...);;Phe [%] (High Performance Liquid Chrom...);;Leu [%] (High Performance Liquid Chrom...);;Bact [#/ml] (FACSCalibur flow-cytometer (B...);;HNA het [#/ml] (FACSCalibur flow-cytometer (B...);;LNA [#/ml] (FACSCalibur flow-cytometer (B...);;Leuc inc rate [nmol/l/h] (3H-leucine microcentrifuge);;BP [µg/l/day] (of carbon, 3H-leucine microce...);;Treat temp [°C] (Bacterial Production Incubati...);;TEP [#/ml] (abundance, Microscopy, 20x ma...);;TEP [µm**2/ml] (total area, Microscopy, 20x m...);;TEP C [µg/l] (Microscopy, 20x magnification...);;CSP [#/ml] (abundance, Microscopy, 20x ma...);;CSP [µm**2/ml] (total area, Microscopy, 20x m...)",";-;Event label (Event);-;Station label (Station);-;Station label (Station);-;Date/Time of event (Date/Time);-;LATITUDE (Latitude);-;LONGITUDE (Longitude);-;DEPTH, water [m] (Depth water);-;Chlorophyll a [µg/l] (Chl a);-;Carbon, organic, dissolved [µmol/l] (DOC);-;Nitrogen, total dissolved [µmol/l] (TDN);-;Phosphorus, total dissolved [µmol/l] (TDP);-;Phosphorus, organic, dissolved [µmol/l] (DOP);-;Carbohydrates, dissolved combined [nmol/l] (DCCHO);-;Fucose [%] (Fuc);-;Rhamnose [%] (Rha);-;Galactosamine [%] (GalN);-;Arabinose [%] (Ara);-;Glucosamine [%] (GlcN);-;Galactose [%] (Gal);-;Glucose [%] (Glc);-;Mannose/Xylose [%] (Man/Xyl);-;Galacturonic acid [%] (GalA);-;Glucuronic acid [%] (GlcA);-;Amino acid, total hydrolysable dissolved [nmol/l] (THDAA);-;Aspartic acid [%] (Asp);-;Glutamic acid [%] (Glu);-;Serine [%] (Ser);-;Glycine [%] (Gly);-;Threonine [%] (Thr);-;Arginine [%] (Arg);-;Alanine [%] (Ala);-;Tyrosine [%] (Tyr);-;Valine [%] (Val);-;Isoleucine [%] (Ile);-;Phenylalanine [%] (Phe);-;Leucine [%] (Leu);-;Bacteria [#/ml] (Bact);-;Bacteria, heterotrophic with relatively high DNA content [#/ml] (HNA het);-;Bacteria, heterotrophic with relatively low DNA content [#/ml] (LNA);-;Leucine incorporation rate [nmol/l/h] (Leuc inc rate);-;Bacterial production [µg/l/day] (BP);-;Treatment: temperature [°C] (Treat temp);-;Transparent exopolymer particles [#/ml] (TEP);-;Transparent exopolymer particles [µm;-;Transparent exopolymer particles per carbon biomass [µg/l] (TEP C);-;Coomassie stainable particles [#/ml] (CSP);-;Coomassie stainable particles [µm","MEDIAN LATITUDE: 79.123042 * MEDIAN LONGITUDE: 4.708270 * SOUTH-BOUND LATITUDE: 78.187393 * WEST-BOUND LONGITUDE: -1.836833 * NORTH-BOUND LATITUDE: 80.300000 * EAST-BOUND LONGITUDE: 13.999000; DATE/TIME START: 2018-07-16T12:58:00 * DATE/TIME END: 2018-10-04T19:18:00; MINIMUM DEPTH, water: 4.6 m * MAXIMUM DEPTH, water: 112.1 m","1"
"894860","894860",NA,"120","https://doi.org/10.1594/PANGAEA.894860","raw_data/archive/ID_894860.rds","Chlorophyll","selected_data_collection/data_selected_Chlorophyll/main_data/main_Chlorophyll.csv","Liu, Yangyang; Boss, Emmanuel; Chase, Alison P; Xi, Hongyan; Zhang, Xiaodong; Röttgers, Rüdiger; Pan, Yanqun; Bracher, Astrid (2018): Phytoplankton pigment concentration measured by HPLC during POLARSTERN cruise PS107. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.894860, ; In supplement to: Liu, Y et al. (2019): Retrieval of phytoplankton pigments from underway spectrophotometry in the Fram Strait. Remote Sensing, 11(3), 318, https://doi.org/10.3390/rs11030318",NA,"1","Event;;Station;;Depth water [m];;Date/Time;;Latitude;;Longitude;;Chlide b [µg/l];;Chl c3 [µg/l];;Mg DVP [µg/l];;Chl c1+c2 [µg/l];;Chlide a [µg/l];;Perid [µg/l];;Phide a [µg/l];;Pyrophide a [µg/l];;But-fuco [µg/l];;Fuco [µg/l];;Neo [µg/l];;Hex-fuco [µg/l];;Aphanizo [µg/l];;Pras [µg/l];;Viola [µg/l];;Asta [µg/l];;Diadino [µg/l];;Dino [µg/l];;Anthera [µg/l];;Allo [µg/l];;Myxox [mg/l];;Diato [µg/l];;Zea [µg/l];;Lut [µg/l];;Gyr diester [µg/l];;DV chl b [µg/l];;Chl b [µg/l];;Echin [µg/l];;DV chl a [µg/l];;Chl a [µg/l];;Phytin b [µg/l];;Phytin a [µg/l];;a-Car [µg/l];;b-Car [µg/l];;Pyrophytin a [µg/l]",";-;Event label (Event);-;Station label (Station);-;DEPTH, water [m] (Depth water);-;DATE/TIME (Date/Time);-;LATITUDE (Latitude);-;LONGITUDE (Longitude);-;Chlorophyllide b [µg/l] (Chlide b);-;Chlorophyll c3 [µg/l] (Chl c3);-;Mg-2,4-divinyl pheoporphyrin a5 monomethyl ester [µg/l] (Mg DVP);-;Chlorophyll c1+c2 [µg/l] (Chl c1+c2);-;Chlorophyllide a [µg/l] (Chlide a);-;Peridinin [µg/l] (Perid);-;Pheophorbide a [µg/l] (Phide a);-;Pyropheophorbide a [µg/l] (Pyrophide a);-;19-Butanoyloxyfucoxanthin [µg/l] (But-fuco);-;Fucoxanthin [µg/l] (Fuco);-;Neoxanthin [µg/l] (Neo);-;19-Hexanoyloxyfucoxanthin [µg/l] (Hex-fuco);-;Aphanizophyll [µg/l] (Aphanizo);-;Prasinoxanthin [µg/l] (Pras);-;Violaxanthin [µg/l] (Viola);-;Astaxanthin [µg/l] (Asta);-;Diadinoxanthin [µg/l] (Diadino);-;Dinoxanthin [µg/l] (Dino);-;Antheraxanthin [µg/l] (Anthera);-;Alloxanthin [µg/l] (Allo);-;Myxoxanthophyll [mg/l] (Myxox);-;Diatoxanthin [µg/l] (Diato);-;Zeaxanthin [µg/l] (Zea);-;Lutein [µg/l] (Lut);-;Gyroxanthin diester [µg/l] (Gyr diester);-;Divinyl chlorophyll b [µg/l] (DV chl b);-;Chlorophyll b [µg/l] (Chl b);-;Echinenone [µg/l] (Echin);-;Divinyl chlorophyll a [µg/l] (DV chl a);-;Chlorophyll a [µg/l] (Chl a);-;Pheophytin b [µg/l] (Phytin b);-;Pheophytin a [µg/l] (Phytin a);-;alpha-Carotene [µg/l] (a-Car);-;beta-Carotene [µg/l] (b-Car);-;Pyropheophytin a [µg/l] (Pyrophytin a)","MEDIAN LATITUDE: 78.689590 * MEDIAN LONGITUDE: 4.044092 * SOUTH-BOUND LATITUDE: 70.918903 * WEST-BOUND LONGITUDE: -5.530361 * NORTH-BOUND LATITUDE: 80.000300 * EAST-BOUND LONGITUDE: 20.458396; DATE/TIME START: 2017-07-24T00:00:00 * DATE/TIME END: 2017-08-18T00:13:00; MINIMUM DEPTH, water: 5 m * MAXIMUM DEPTH, water: 400 m","1"
"941011","941011",NA,"120","https://doi.org/10.1594/PANGAEA.941011","raw_data/archive/ID_941011.rds","Chlorophyll","selected_data_collection/data_selected_Chlorophyll/main_data/main_Chlorophyll.csv","Bracher, Astrid; Wiegmann, Sonja (2022): Phytoplankton pigment concentrations during POLARSTERN cruise PS121 from North Sea to Fram in August to September 2019. PANGAEA, https://doi.org/10.1594/PANGAEA.941011",NA,"1","Event;;Sample ID;;Depth water [m];;Date/Time;;Latitude;;Longitude;;Chl c3 [µg/l];;Chl c1+c2 [µg/l];;Perid [µg/l];;Phide a [µg/l];;Pyrophide a [µg/l];;But-fuco [µg/l];;Fuco [µg/l];;Neo [µg/l];;Hex-fuco [µg/l];;Pras [µg/l];;Viola [µg/l];;Asta [µg/l];;Diadino [µg/l];;Dino [µg/l];;Anthera [µg/l];;Allo [µg/l];;Diato [µg/l];;Zea [µg/l];;Lut [µg/l];;Gyr diester [µg/l];;Chl b [µg/l];;Chl a [µg/l];;Phytin b [µg/l];;Phytin a [µg/l];;a-Car [µg/l];;b-Car [µg/l];;Chl a [µg/l] (Total)",";-;Event label (Event);-;Sample ID (Sample ID);-;DEPTH, water [m] (Depth water);-;DATE/TIME (Date/Time);-;LATITUDE (Latitude);-;LONGITUDE (Longitude);-;Chlorophyll c3 [µg/l] (Chl c3);-;Chlorophyll c1+c2 [µg/l] (Chl c1+c2);-;Peridinin [µg/l] (Perid);-;Pheophorbide a [µg/l] (Phide a);-;Pyropheophorbide a [µg/l] (Pyrophide a);-;19-Butanoyloxyfucoxanthin [µg/l] (But-fuco);-;Fucoxanthin [µg/l] (Fuco);-;Neoxanthin [µg/l] (Neo);-;19-Hexanoyloxyfucoxanthin [µg/l] (Hex-fuco);-;Prasinoxanthin [µg/l] (Pras);-;Violaxanthin [µg/l] (Viola);-;Astaxanthin [µg/l] (Asta);-;Diadinoxanthin [µg/l] (Diadino);-;Dinoxanthin [µg/l] (Dino);-;Antheraxanthin [µg/l] (Anthera);-;Alloxanthin [µg/l] (Allo);-;Diatoxanthin [µg/l] (Diato);-;Zeaxanthin [µg/l] (Zea);-;Lutein [µg/l] (Lut);-;Gyroxanthin diester [µg/l] (Gyr diester);-;Chlorophyll b [µg/l] (Chl b);-;Chlorophyll a [µg/l] (Chl a);-;Pheophytin b [µg/l] (Phytin b);-;Pheophytin a [µg/l] (Phytin a);-;alpha-Carotene [µg/l] (a-Car);-;beta-Carotene [µg/l] (b-Car);-;Chlorophyll a [µg/l] (Chl a)","MEDIAN LATITUDE: 76.999536 * MEDIAN LONGITUDE: 3.679059 * SOUTH-BOUND LATITUDE: 54.716473 * WEST-BOUND LONGITUDE: -5.410759 * NORTH-BOUND LATITUDE: 79.958090 * EAST-BOUND LONGITUDE: 12.406038; DATE/TIME START: 2019-08-11T04:29:00 * DATE/TIME END: 2019-09-11T08:51:00; MINIMUM DEPTH, water: 0 m * MAXIMUM DEPTH, water: 101 m","1"
"855799","855799",NA,"120","https://doi.org/10.1594/PANGAEA.855799","raw_data/archive/ID_855799.rds","Chlorophyll","selected_data_collection/data_selected_Chlorophyll/main_data/main_Chlorophyll.csv","Nöthig, Eva-Maria; Bauerfeind, Eduard; Metfies, Katja; Simon, Stephanie; Lorenzen, Christiane (2015): Chlorophyll a measured on water bottle samples during POLARSTERN cruise ARK-XXIV/2. PANGAEA, https://doi.org/10.1594/PANGAEA.855799, ; In supplement to: Nöthig, Eva-Maria; Bracher, Astrid; Engel, Anja; Metfies, Katja; Niehoff, Barbara; Peeken, Ilka; Bauerfeind, Eduard; Cherkasheva, Alexandra; Gäbler-Schwarz, Stefanie; Hardge, Kristin; Kilias, Estelle; Kraft, Angelina; Mebrahtom Kidane, Yohannes; Lalande, Catherine; Piontek, Judith; Thomisch, Karolin; Wurst, Mascha (2015): Summertime plankton ecology in Fram Strait—a compilation of long- and short-term observations. Polar Research, 34, 18 pp, https://doi.org/10.3402/polar.v34.23349",NA,"1","Event;;Date/Time;;Latitude;;Longitude;;Elevation [m];;Depth water [m];;Chl a [µg/l]",";-;Event label (Event);-;Date/Time of event (Date/Time);-;Latitude of event (Latitude);-;Longitude of event (Longitude);-;Elevation of event [m] (Elevation);-;DEPTH, water [m] (Depth water);-;Chlorophyll a [µg/l] (Chl a)","MEDIAN LATITUDE: 78.692056 * MEDIAN LONGITUDE: 5.745069 * SOUTH-BOUND LATITUDE: 72.169200 * WEST-BOUND LONGITUDE: 3.481300 * NORTH-BOUND LATITUDE: 79.727200 * EAST-BOUND LONGITUDE: 14.630700; DATE/TIME START: 2009-07-11T21:18:00 * DATE/TIME END: 2009-07-20T12:21:00; MINIMUM DEPTH, water: 10 m * MAXIMUM DEPTH, water: 125 m","1"
"855800","855800",NA,"120","https://doi.org/10.1594/PANGAEA.855800","raw_data/archive/ID_855800.rds","Chlorophyll","selected_data_collection/data_selected_Chlorophyll/main_data/main_Chlorophyll.csv","Nöthig, Eva-Maria; Bauerfeind, Eduard; Kraft, Angelina; Lorenzen, Christiane (2015): Chlorophyll a measured on water bottle samples during POLARSTERN cruise ARK-XXV/2. PANGAEA, https://doi.org/10.1594/PANGAEA.855800, ; In supplement to: Nöthig, Eva-Maria; Bracher, Astrid; Engel, Anja; Metfies, Katja; Niehoff, Barbara; Peeken, Ilka; Bauerfeind, Eduard; Cherkasheva, Alexandra; Gäbler-Schwarz, Stefanie; Hardge, Kristin; Kilias, Estelle; Kraft, Angelina; Mebrahtom Kidane, Yohannes; Lalande, Catherine; Piontek, Judith; Thomisch, Karolin; Wurst, Mascha (2015): Summertime plankton ecology in Fram Strait—a compilation of long- and short-term observations. Polar Research, 34, 18 pp, https://doi.org/10.3402/polar.v34.23349",NA,"1","Event;;Date/Time;;Latitude;;Longitude;;Elevation [m];;Depth water [m];;Chl a [µg/l]",";-;Event label (Event);-;Date/Time of event (Date/Time);-;Latitude of event (Latitude);-;Longitude of event (Longitude);-;Elevation of event [m] (Elevation);-;DEPTH, water [m] (Depth water);-;Chlorophyll a [µg/l] (Chl a)","MEDIAN LATITUDE: 78.972657 * MEDIAN LONGITUDE: 1.234683 * SOUTH-BOUND LATITUDE: 78.609800 * WEST-BOUND LONGITUDE: -11.972700 * NORTH-BOUND LATITUDE: 79.933800 * EAST-BOUND LONGITUDE: 11.085300; DATE/TIME START: 2010-07-02T03:27:00 * DATE/TIME END: 2010-07-23T23:21:00; MINIMUM DEPTH, water: 5 m * MAXIMUM DEPTH, water: 100 m","1"
"855802","855802",NA,"120","https://doi.org/10.1594/PANGAEA.855802","raw_data/archive/ID_855802.rds","Chlorophyll","selected_data_collection/data_selected_Chlorophyll/main_data/main_Chlorophyll.csv","Nöthig, Eva-Maria; Bauerfeind, Eduard; Kraft, Angelina; Knüppel, Nadine; Lorenzen, Christiane (2015): Chlorophyll a measured on water bottle samples during POLARSTERN cruise ARK-XXVI/2. PANGAEA, https://doi.org/10.1594/PANGAEA.855802, ; In supplement to: Nöthig, Eva-Maria; Bracher, Astrid; Engel, Anja; Metfies, Katja; Niehoff, Barbara; Peeken, Ilka; Bauerfeind, Eduard; Cherkasheva, Alexandra; Gäbler-Schwarz, Stefanie; Hardge, Kristin; Kilias, Estelle; Kraft, Angelina; Mebrahtom Kidane, Yohannes; Lalande, Catherine; Piontek, Judith; Thomisch, Karolin; Wurst, Mascha (2015): Summertime plankton ecology in Fram Strait—a compilation of long- and short-term observations. Polar Research, 34, 18 pp, https://doi.org/10.3402/polar.v34.23349",NA,"1","Event;;Date/Time;;Latitude;;Longitude;;Elevation [m];;Depth water [m];;Chl a [µg/l]",";-;Event label (Event);-;Date/Time of event (Date/Time);-;Latitude of event (Latitude);-;Longitude of event (Longitude);-;Elevation of event [m] (Elevation);-;DEPTH, water [m] (Depth water);-;Chlorophyll a [µg/l] (Chl a)","MEDIAN LATITUDE: 79.140508 * MEDIAN LONGITUDE: 5.046928 * SOUTH-BOUND LATITUDE: 78.141330 * WEST-BOUND LONGITUDE: 2.771830 * NORTH-BOUND LATITUDE: 79.953170 * EAST-BOUND LONGITUDE: 10.581170; DATE/TIME START: 2011-07-14T17:02:00 * DATE/TIME END: 2011-07-29T18:00:00; MINIMUM DEPTH, water: 5 m * MAXIMUM DEPTH, water: 100 m","1"
"855805","855805",NA,"120","https://doi.org/10.1594/PANGAEA.855805","raw_data/archive/ID_855805.rds","Chlorophyll","selected_data_collection/data_selected_Chlorophyll/main_data/main_Chlorophyll.csv","Nöthig, Eva-Maria; Winkler, Maria; Petersen, Imke; Knüppel, Nadine; Lorenzen, Christiane (2015): Chlorophyll a measured on water bottle samples during POLARSTERN cruise ARK-XXVII/2. PANGAEA, https://doi.org/10.1594/PANGAEA.855805, ; In supplement to: Nöthig, Eva-Maria; Bracher, Astrid; Engel, Anja; Metfies, Katja; Niehoff, Barbara; Peeken, Ilka; Bauerfeind, Eduard; Cherkasheva, Alexandra; Gäbler-Schwarz, Stefanie; Hardge, Kristin; Kilias, Estelle; Kraft, Angelina; Mebrahtom Kidane, Yohannes; Lalande, Catherine; Piontek, Judith; Thomisch, Karolin; Wurst, Mascha (2015): Summertime plankton ecology in Fram Strait—a compilation of long- and short-term observations. Polar Research, 34, 18 pp, https://doi.org/10.3402/polar.v34.23349",NA,"1","Event;;Date/Time;;Latitude;;Longitude;;Elevation [m];;Depth water [m];;Chl a [µg/l]",";-;Event label (Event);-;Date/Time of event (Date/Time);-;Latitude of event (Latitude);-;Longitude of event (Longitude);-;Elevation of event [m] (Elevation);-;DEPTH, water [m] (Depth water);-;Chlorophyll a [µg/l] (Chl a)","MEDIAN LATITUDE: 79.153950 * MEDIAN LONGITUDE: 5.086199 * SOUTH-BOUND LATITUDE: 78.610170 * WEST-BOUND LONGITUDE: 2.841000 * NORTH-BOUND LATITUDE: 79.933170 * EAST-BOUND LONGITUDE: 11.075670; DATE/TIME START: 2012-07-16T06:47:00 * DATE/TIME END: 2012-07-26T18:18:00; MINIMUM DEPTH, water: 0 m * MAXIMUM DEPTH, water: 550 m","1"
"887840","887840",NA,"120","https://doi.org/10.1594/PANGAEA.887840","raw_data/archive/ID_887840.rds","Chlorophyll","selected_data_collection/data_selected_Chlorophyll/main_data/main_Chlorophyll.csv","Nöthig, Eva-Maria; Winkler, Maria; Bonk, Elizabeth (2018): Chlorophyll a measured on water bottle samples during POLARSTERN cruise PS85 (ARK-XXVIII/2). Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.887840, ; In: Nöthig, Eva-Maria; Bauerfeind, Eduard; Lorenzen, Christiane; Lalande, Catherine; Knüppel, Nadine; Winkler, Maria; Bonk, Elizabeth; Strache, Anique; Jacobs, Mirta; Petersen, Imke; Schröter, Franz (2018): Chlorophyll a in Arctic Ocean, Fram Strait, and Greenland Sea 2013 - 2016. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.887882",NA,"1","Event;;Event 2;;Date/Time;;Latitude;;Longitude;;Elevation [m];;Depth water [m];;Chl a [µg/l]",";-;Event label (Event);-;Optional event label (Event 2);-;Date/Time of event (Date/Time);-;Latitude of event (Latitude);-;Longitude of event (Longitude);-;Elevation of event [m] (Elevation);-;DEPTH, water [m] (Depth water);-;Chlorophyll a [µg/l] (Chl a)","MEDIAN LATITUDE: 78.686089 * MEDIAN LONGITUDE: -4.389734 * SOUTH-BOUND LATITUDE: 77.388330 * WEST-BOUND LONGITUDE: -16.304670 * NORTH-BOUND LATITUDE: 79.760330 * EAST-BOUND LONGITUDE: 6.089500; DATE/TIME START: 2014-06-14T14:00:00 * DATE/TIME END: 2014-06-29T01:53:00; MINIMUM DEPTH, water: 5 m * MAXIMUM DEPTH, water: 150 m","1"
"887846","887846",NA,"120","https://doi.org/10.1594/PANGAEA.887846","raw_data/archive/ID_887846.rds","Chlorophyll","selected_data_collection/data_selected_Chlorophyll/main_data/main_Chlorophyll.csv","Nöthig, Eva-Maria; Knüppel, Nadine; Bonk, Elizabeth (2018): Chlorophyll a measured on water bottle samples during POLARSTERN cruise PS93.2 (ARK-XXIX/2.2). Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.887846, ; In: Nöthig, Eva-Maria; Bauerfeind, Eduard; Lorenzen, Christiane; Lalande, Catherine; Knüppel, Nadine; Winkler, Maria; Bonk, Elizabeth; Strache, Anique; Jacobs, Mirta; Petersen, Imke; Schröter, Franz (2018): Chlorophyll a in Arctic Ocean, Fram Strait, and Greenland Sea 2013 - 2016. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.887882",NA,"1","Event;;Event 2;;Date/Time;;Latitude;;Longitude;;Elevation [m];;Depth water [m];;Chl a [µg/l]",";-;Event label (Event);-;Optional event label (Event 2);-;Date/Time of event (Date/Time);-;Latitude of event (Latitude);-;Longitude of event (Longitude);-;Elevation of event [m] (Elevation);-;DEPTH, water [m] (Depth water);-;Chlorophyll a [µg/l] (Chl a)","MEDIAN LATITUDE: 79.158902 * MEDIAN LONGITUDE: 4.588010 * SOUTH-BOUND LATITUDE: 78.599000 * WEST-BOUND LONGITUDE: -2.709330 * NORTH-BOUND LATITUDE: 79.938330 * EAST-BOUND LONGITUDE: 11.087830; DATE/TIME START: 2015-07-24T15:59:00 * DATE/TIME END: 2015-08-12T05:08:00; MINIMUM DEPTH, water: 5 m * MAXIMUM DEPTH, water: 100 m","1"
"887855","887855",NA,"120","https://doi.org/10.1594/PANGAEA.887855","raw_data/archive/ID_887855.rds","Chlorophyll","selected_data_collection/data_selected_Chlorophyll/main_data/main_Chlorophyll.csv","Nöthig, Eva-Maria; Knüppel, Nadine; Lorenzen, Christiane (2018): Chlorophyll a measured on water bottle samples during POLARSTERN cruise PS99.2 (ARK-XXX/1.2). Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.887855, ; In: Nöthig, Eva-Maria; Bauerfeind, Eduard; Lorenzen, Christiane; Lalande, Catherine; Knüppel, Nadine; Winkler, Maria; Bonk, Elizabeth; Strache, Anique; Jacobs, Mirta; Petersen, Imke; Schröter, Franz (2018): Chlorophyll a in Arctic Ocean, Fram Strait, and Greenland Sea 2013 - 2016. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.887882",NA,"1","Event;;Event 2;;Date/Time;;Latitude;;Longitude;;Elevation [m];;Depth water [m];;Chl a [µg/l]",";-;Event label (Event);-;Optional event label (Event 2);-;Date/Time of event (Date/Time);-;Latitude of event (Latitude);-;Longitude of event (Longitude);-;Elevation of event [m] (Elevation);-;DEPTH, water [m] (Depth water);-;Chlorophyll a [µg/l] (Chl a)","MEDIAN LATITUDE: 79.111461 * MEDIAN LONGITUDE: 3.508532 * SOUTH-BOUND LATITUDE: 78.607830 * WEST-BOUND LONGITUDE: -5.409330 * NORTH-BOUND LATITUDE: 79.921170 * EAST-BOUND LONGITUDE: 11.092500; DATE/TIME START: 2016-06-25T12:34:00 * DATE/TIME END: 2016-07-10T20:45:00; MINIMUM DEPTH, water: 5 m * MAXIMUM DEPTH, water: 100 m","1"
"887837","887837","","120","https://doi.org/10.1594/PANGAEA.887837","raw_data/archive/ID_887837.rds","Chlorophyll","selected_data_collection/data_selected_Chlorophyll/main_data/main_Chlorophyll.csv","Nöthig, Eva-Maria; Bauerfeind, Eduard; Lalande, Catherine (2018): Chlorophyll a measured on water bottle samples during Maria S. Merian cruise MSM29. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.887837, ; In: Nöthig, Eva-Maria; Bauerfeind, Eduard; Lorenzen, Christiane; Lalande, Catherine; Knüppel, Nadine; Winkler, Maria; Bonk, Elizabeth; Strache, Anique; Jacobs, Mirta; Petersen, Imke; Schröter, Franz (2018): Chlorophyll a in Arctic Ocean, Fram Strait, and Greenland Sea 2013 - 2016. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.887882","","1","Event;;Event 2;;Date/Time;;Latitude;;Longitude;;Elevation [m];;Depth water [m];;Chl a [µg/l]",";-;Event label (Event);-;Optional event label (Event 2);-;Date/Time of event (Date/Time);-;Latitude of event (Latitude);-;Longitude of event (Longitude);-;Elevation of event [m] (Elevation);-;DEPTH, water [m] (Depth water);-;Chlorophyll a [µg/l] (Chl a)","MEDIAN LATITUDE: 79.085666 * MEDIAN LONGITUDE: 6.178726 * SOUTH-BOUND LATITUDE: 78.620000 * WEST-BOUND LONGITUDE: 4.339830 * NORTH-BOUND LATITUDE: 79.716170 * EAST-BOUND LONGITUDE: 11.088500; DATE/TIME START: 2013-06-25T10:58:00 * DATE/TIME END: 2013-07-09T01:25:00; MINIMUM DEPTH, water: 1 m * MAXIMUM DEPTH, water: 100 m","1"
